headline,date,score,direction,topic,source_weight
央行超预期降准50bp释放长期流动性约1.2万亿,2026-07-15,0.82,bullish,monetary,1.0
沪深300指数创年内新高北向资金持续净流入,2026-07-14,0.75,bullish,industrial,0.7
国务院发布促进民营经济发展壮大意见,2026-07-13,0.68,bullish,industrial,0.7
人工智能板块持续走强多只个股创历史新高,2026-07-12,0.60,bullish,industrial,0.7
消费数据超预期社零总额同比增长5.8%,2026-07-11,0.55,bullish,macro,0.7
新能源车产销两旺渗透率突破50%,2026-07-10,0.52,bullish,industrial,0.7
外资机构上调中国GDP增长预期至5.2%,2026-07-09,0.48,bullish,macro,0.7
半导体国产替代加速龙头企业订单饱满,2026-07-08,0.45,bullish,industrial,0.7
央企改革深化提升行动启动相关板块活跃,2026-07-07,0.42,bullish,industrial,0.7
中秋国庆消费旺季来临旅游餐饮预订火爆,2026-07-06,0.38,bullish,macro,0.4
房地产销售数据持续低迷房企资金链承压,2026-07-15,-0.78,bearish,industrial,0.7
人民币汇率跌破7.3关口出口型企业承压,2026-07-14,-0.65,bearish,macro,0.7
地方债务风险引关注城投债收益率上行,2026-07-13,-0.58,bearish,monetary,1.0
中美科技竞争升级半导体出口管制加码,2026-07-12,-0.72,bearish,geopolitical,0.7
通缩压力加大CPI同比仅增长0.1%,2026-07-11,-0.55,bearish,macro,0.7
青年失业率居高不下就业形势严峻,2026-07-10,-0.50,bearish,macro,0.4
地缘政治风险升温台海局势紧张,2026-07-09,-0.68,bearish,geopolitical,0.4
上市公司业绩预告密集暴雷多股跌停,2026-07-08,-0.62,bearish,industrial,0.7
信托产品逾期兑付风险蔓延金融监管加码,2026-07-07,-0.70,bearish,monetary,1.0
全球贸易增速放缓出口订单连续下滑,2026-07-06,-0.45,bearish,macro,0.4
