date,open,high,low,close,volume
2022-09-07,3495.02,3510.9,3462.86,3502.09,28569412
2022-09-08,3510.91,3524.64,3454.6,3512.38,34830392
2022-09-09,3512.71,3581.57,3512.71,3570.04,36556408
2022-09-12,3579.18,3657.23,3579.18,3646.51,36112444
2022-09-13,3649.24,3683.02,3586.08,3586.18,34987408
2022-09-14,3583.88,3591.37,3545.8,3567.56,29903896
2022-09-15,3566.47,3586.36,3532.08,3541.79,42869688
2022-09-16,3532.2,3532.2,3482.4,3500.41,64574496
2022-09-19,3499.78,3520.11,3451.51,3499.49,24090436
2022-09-20,3500.42,3537.91,3459.94,3467.09,35424208
2022-09-21,3461.3,3494.41,3425.7,3491.87,28274944
2022-09-22,3476.23,3494.38,3427.06,3427.14,29846394
2022-09-23,3427.14,3427.14,3330.1,3348.6,37876008
2022-09-26,3343.2,3377.61,3325.2,3342.56,32215822
2022-09-27,3349.94,3396.08,3328.65,3328.65,38819272
2022-09-28,3322.59,3339.55,3259.33,3335.3,43673176
2022-09-29,3332.8,3332.8,3249.57,3279.04,40550148
2022-09-30,3282.0,3324.24,3279.98,3318.2,39522236
2022-10-03,3309.02,3348.45,3259.75,3342.17,31500938
2022-10-04,3359.71,3484.48,3359.71,3484.48,37025440
2022-10-05,3479.24,3480.45,3427.7,3447.72,30014984
2022-10-06,3455.28,3476.67,3419.8,3433.45,26750588
2022-10-07,3419.31,3434.13,3373.65,3375.46,28227368
2022-10-10,3367.86,3389.94,3338.36,3356.88,24639424
2022-10-11,3352.54,3356.41,3310.41,3340.35,28872936
2022-10-12,3339.5,3365.85,3315.54,3331.53,27895028
2022-10-13,3321.18,3373.11,3256.32,3362.4,35395092
2022-10-14,3371.71,3452.99,3371.71,3381.73,34861220
2022-10-17,3382.12,3456.81,3369.55,3441.64,26488942
2022-10-18,3449.95,3511.06,3449.95,3463.83,32665294
2022-10-19,3466.71,3498.2,3458.17,3471.24,23229168
2022-10-20,3467.57,3501.58,3451.75,3492.85,29617456
2022-10-21,3477.27,3488.01,3422.93,3476.63,38820844
2022-10-24,3488.78,3552.74,3473.21,3527.79,31331284
2022-10-25,3536.92,3585.58,3511.52,3585.58,29931052
2022-10-26,3586.47,3609.72,3560.43,3605.31,31449052
2022-10-27,3604.95,3618.73,3565.36,3604.51,38256772
2022-10-28,3594.6,3615.91,3558.55,3613.02,29709112
2022-10-31,3622.55,3631.23,3606.97,3617.54,29741092
2022-11-01,3628.6,3680.24,3628.6,3651.02,27274900
2022-11-02,3653.42,3675.66,3621.18,3622.01,29427010
2022-11-03,3596.07,3597.58,3563.42,3593.18,28571064
